Unnamed: 0,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
20,4LRV7mkO2L1yBVhmbDvdqV,0.28,0.11800000000000001,9,-23.945999999999998,0,0.0361,0.619,0.914,0.107,0.10400000000000001,89.866,153833,4,Zims Ele,Purity,https://p.scdn.co/mp3-preview/f0f27ad180c7d2228c9fcd17c82b7d2c8ff54019?cid=1f08b74262ce473390052367a2428089,-1,2
21,4vOHJJO8fJudz8JVVG9av6,0.113,0.0413,5,-29.785999999999998,1,0.0432,0.946,0.8859999999999999,0.10300000000000001,0.152,78.745,155202,4,Modal Colours,Moment To Moment,https://p.scdn.co/mp3-preview/d067847192073328c8c1a4187bcca730c6538948?cid=1f08b74262ce473390052367a2428089,-1,2
22,0IazKTDsOeV4v3NfILh3LW,0.102,0.027999999999999997,0,-37.166,1,0.0573,0.9420000000000001,0.9640000000000001,0.1,0.0587,67.27199999999999,190957,3,Laila Wollo,Arnasa,https://p.scdn.co/mp3-preview/a70cd821d42f55457caa29f7625333e5d3624249?cid=1f08b74262ce473390052367a2428089,-1,2
23,5nrX2dmftdOXdhdGqdF9V8,0.20600000000000002,0.0344,5,-29.487,1,0.045,0.905,0.809,0.14400000000000002,0.0579,70.484,188964,4,Savannah De Lucia,Pacific,https://p.scdn.co/mp3-preview/61c334dd3de2fc8c88ba955e91cef793409ac494?cid=1f08b74262ce473390052367a2428089,-1,2
24,6OTCHM8icoVQmWYdULItOz,0.163,0.0094,2,-33.708,1,0.0354,0.987,0.8740000000000001,0.10400000000000001,0.138,72.47800000000001,162783,3,Unwritten Skies,Hopeful,https://p.scdn.co/mp3-preview/e4961aefda219b51b192d3714a1b6c1a47a5d146?cid=1f08b74262ce473390052367a2428089,-1,2
25,17dxXweuShPwv4eXAqJMXz,0.0999,0.0273,11,-31.428,1,0.0405,0.91,0.66,0.11,0.11699999999999999,68.322,165802,3,Quinn Joshua,Sedate Dawn,https://p.scdn.co/mp3-preview/c3412161d85833aa623a99372edd6b01389009f2?cid=1f08b74262ce473390052367a2428089,-1,2
26,5pGG0eGQcA71HLo4jKQY90,0.0709,0.0235,0,-34.208,1,0.0408,0.9640000000000001,0.904,0.0853,0.0519,75.607,199250,3,Månvarv,Nattljus,https://p.scdn.co/mp3-preview/fef96dd075525f48cc6de8b9352cf083fdb54f32?cid=1f08b74262ce473390052367a2428089,-1,2
27,4sfOO8SiLK78BqfpDYMdGX,0.0707,0.0116,2,-35.147,1,0.0447,0.987,0.937,0.0773,0.18899999999999997,76.12,187833,4,Nadine Gaertner,Lost For Words,https://p.scdn.co/mp3-preview/d021c8b1b8fa9fee837898a30962201ea78d1efe?cid=1f08b74262ce473390052367a2428089,-1,2
28,02uEjuRG2GnzUVvyL0KWro,0.14800000000000002,0.00157,0,-36.876999999999995,1,0.0392,0.995,0.8590000000000001,0.114,0.121,69.889,211162,1,Xavier Ortando,Old Station Atmos,https://p.scdn.co/mp3-preview/c9bce2a5e22e6cea277c5e832a604639eeea6053?cid=1f08b74262ce473390052367a2428089,-1,2
29,5IRmwahDW9Du2lJMpCHeFj,0.17,0.0907,4,-27.98,1,0.0402,0.9440000000000001,0.6759999999999999,0.0947,0.032,124.083,238095,4,Emotional Pleasure,Norm and Mirza,https://p.scdn.co/mp3-preview/a8f093153a111920e7453a9938c5e9e9bc640084?cid=1f08b74262ce473390052367a2428089,-1,2
30,69zMzxv7BgdLXTauZvOCm3,0.10400000000000001,0.00391,9,-36.7,1,0.0409,0.992,0.848,0.1,0.0929,78.275,186500,4,Kaua Correia,Leticia,https://p.scdn.co/mp3-preview/88b954af9141d80f9415415c2432243b3167896a?cid=1f08b74262ce473390052367a2428089,-1,2
31,6m9JbPIC8saBo8pVm08x0j,0.292,0.0803,4,-25.197,1,0.0372,0.943,0.909,0.109,0.067,68.611,182765,4,Hector Warrens,Moments of Stillness,https://p.scdn.co/mp3-preview/c3e226bfa8dd12b39e1ea7cbd60df22fada62456?cid=1f08b74262ce473390052367a2428089,-1,2
32,42Rzf70H0cM88EDU5YV0cq,0.14400000000000002,0.0158,10,-34.45,1,0.0424,0.884,0.8340000000000001,0.106,0.209,67.858,185920,3,Noa Sandberg,Andas,https://p.scdn.co/mp3-preview/d24f1b267c15fad70ceb9c7cb5caf8412e7515fb?cid=1f08b74262ce473390052367a2428089,-1,2
33,52uw4LhiFFnIHduoLVILMm,0.138,0.0201,5,-34.792,0,0.0352,0.972,0.847,0.146,0.0395,72.008,173381,4,Klaangen,Sequoia,https://p.scdn.co/mp3-preview/4bf70ea2684d8ff27f518eabd11e5547a353f979?cid=1f08b74262ce473390052367a2428089,-1,2
34,1pL8cVd2aJe56enIR68Awi,0.304,0.071,7,-27.894000000000002,1,0.0453,0.983,0.932,0.0972,0.0839,78.084,165385,1,Eryk Kamylla,Radiant Dream,https://p.scdn.co/mp3-preview/1185a68938c8552dc5074dbf108dfd627166be5f?cid=1f08b74262ce473390052367a2428089,-1,2
35,0HZeMwreNsUSEWX1ykYKum,0.0635,0.0429,5,-31.502,0,0.0443,0.975,0.9690000000000001,0.10400000000000001,0.0997,50.778999999999996,192000,3,Esin Pierce,Yakamoz,https://p.scdn.co/mp3-preview/d66240ec9bc101655122f9b5014eef761588642e?cid=1f08b74262ce473390052367a2428089,-1,2
36,0bPOqdsUdPCOayNdh0ERNW,0.14800000000000002,0.00215,2,-32.153,1,0.0372,0.98,0.816,0.095,0.0727,64.37,189500,4,Serene & Pax,Ladybugs,https://p.scdn.co/mp3-preview/dc04251e2bfc75e693ecaae873b5c3ed6478084d?cid=1f08b74262ce473390052367a2428089,-1,2
37,0EkOXlinAFTDIVPbbaRDJL,0.0747,0.00506,5,-34.786,1,0.0426,0.9940000000000001,0.9229999999999999,0.10800000000000001,0.153,78.58800000000001,225000,3,Judithe Abelsen,Hovering,https://p.scdn.co/mp3-preview/f93c4634f9d7259573e653c5b88adb5d60752757?cid=1f08b74262ce473390052367a2428089,-1,2
